,price,beds,accommodates,bedrooms,bathrooms,amenities_count,room_type,property_type,neighbourhood_cleansed,minimum_nights
0,80.43,2,4,2,1,8,Entire home/apt,Entire rental unit,THIRD WARD,28
1,211,1,3,1,1,32,Entire home/apt,Entire rental unit,SIXTH WARD,1
2,97,1,2,1,1,40,Entire home/apt,Entire rental unit,SECOND WARD,1
3,160,1,2,1,1,43,Entire home/apt,Entire rental unit,SIXTH WARD,1
4,86,2,2,1,1,28,Private room,Private room in rental unit,SECOND WARD,1
5,58,1,1,1,1,23,Private room,Private room in guest suite,FOURTEENTH WARD,1
6,277.31,4,10,3,2,80,Entire home/apt,Entire place,FIFTEENTH WARD,1
7,62.87,1,1,1,1.5,28,Private room,Private room in home,ELEVENTH WARD,15
8,64,2,1,1,1,45,Private room,Private room in rental unit,SIXTH WARD,5
9,313,4,6,4,2,52,Entire home/apt,Entire home,FIFTEENTH WARD,2
10,51.89,1,1,1,1,43,Private room,Private room in home,TENTH WARD,18
11,394,2,7,2,2,42,Entire home/apt,Entire home,FIFTEENTH WARD,1
12,68.5,1,2,1,1,37,Private room,Private room in home,NINTH WARD,2
13,92,1,2,1,1,25,Private room,Private room in guest suite,FOURTEENTH WARD,1
14,60.67,1,1,1,1.5,31,Private room,Private room in home,FIFTH WARD,15
15,52.43,1,1,1,1,44,Private room,Private room in home,TENTH WARD,1
16,411.5,3,6,2,1,84,Entire home/apt,Entire home,FIFTEENTH WARD,2
17,92,1,2,1,1,29,Private room,Private room in home,NINTH WARD,1
18,388,6,9,5,2,39,Entire home/apt,Entire home,FOURTEENTH WARD,4
19,246.49,3,6,2,1,46,Entire home/apt,Entire home,FIFTEENTH WARD,1
20,194,2,4,1,1,47,Entire home/apt,Entire rental unit,SEVENTH WARD,2
21,128.5,1,2,1,1,34,Entire home/apt,Entire home,NINTH WARD,2
22,51.23,1,2,1,1,46,Private room,Private room in home,THIRTEENTH WARD,18
23,131.5,1,2,1,1,44,Entire home/apt,Entire rental unit,NINTH WARD,2
24,845.75,5,10,4,1,61,Entire home/apt,Entire home,FIFTEENTH WARD,4
25,114.33,2,4,1,1,36,Entire home/apt,Entire rental unit,TENTH WARD,3
27,49,1,1,1,1,44,Private room,Private room in home,ELEVENTH WARD,20
28,103,1,2,1,1,34,Private room,Private room in home,NINTH WARD,2
29,97,1,2,1,1,34,Private room,Private room in guest suite,NINTH WARD,2
30,115,3,2,1,1,42,Entire home/apt,Entire guest suite,SIXTH WARD,1
31,137,1,4,1,1,35,Entire home/apt,Entire rental unit,SIXTH WARD,2
32,100,1,2,1,1,43,Private room,Private room in rental unit,NINTH WARD,2
33,342.5,5,4,2,1.5,36,Entire home/apt,Entire home,EIGHTH WARD,2
34,69,1,2,1,1,26,Private room,Private room in rental unit,NINTH WARD,1
35,142,2,5,1,1,55,Entire home/apt,Entire loft,SECOND WARD,1
36,119,2,3,1,1,52,Entire home/apt,Entire rental unit,SECOND WARD,1
37,195,1,2,1,1,52,Private room,Private room in home,FOURTH WARD,1
38,186,1,2,1,1,39,Entire home/apt,Entire rental unit,SIXTH WARD,1
39,100,1,1,1,1,30,Private room,Private room in home,NINTH WARD,2
41,202.67,2,4,2,1,39,Private room,Private room in home,FOURTH WARD,3
42,188,3,6,2,1,56,Entire home/apt,Entire rental unit,SECOND WARD,1
43,186,2,6,2,1,51,Entire home/apt,Entire rental unit,SECOND WARD,1
44,69,1,2,1,1,31,Private room,Private room in home,SEVENTH WARD,1
45,145,1,2,1,1,45,Entire home/apt,Entire rental unit,SECOND WARD,2
46,97.07,2,4,2,1,40,Entire home/apt,Entire rental unit,THIRTEENTH WARD,30
